_permit_type,work_description,address,permit_,_permit_type(2),work_description(2),address(2),permit_(2),b_ward
PERMIT - WRECKING/DEMOLITION,WRECK AND REMOVE A 2 STORY GRAY STONE RESIDNTIAL BUILDING & FRAME GARAGE.,1044 W Diversey Pkwy,100548540,PERMIT - NEW CONSTRUCTION,"ERECT A 3 STORY ,IIIB MASONRY 3 UNIT APARTMENT BUILDING WITH ROOF DECK AND NEW DETACHED 3 CAR GARAGE",1044 W Diversey Pkwy,100539074,44
PERMIT - WRECKING/DEMOLITION,WRECK AND REMOVE A 2 STORY FRAME RESIDENCE AND DETACHED FRAME GARAGE,1050 W Wellington Ave,100496203,PERMIT - NEW CONSTRUCTION,ERECT A TWO STORY IIIB MASONRY SINGLE  FAMILY RESIDENCE WITH BASEMENT A  DETACHED CAR GARAGE WITH ROOF DECK PER PLANS,1050 W Wellington Ave,100505177,44
PERMIT - WRECKING/DEMOLITION,WRECK AND REMVOE SFR.,10528 S Central Park Ave,100508335,PERMIT - NEW CONSTRUCTION,NEW TWO STORY SINGLE FAMILY RESIDENCE,10528 S Central Park Ave,100509509,19
PERMIT - WRECKING/DEMOLITION,WRECK & REMOVE 2 STORY BRICK RESIDENCE & 1 STORY DETACHED FRAME GARAGE,1059 N Paulina St,100493954,PERMIT - NEW CONSTRUCTION,"SELF CERTIFICATION REVIEW: ERECT 3 D.U. MASONRY BUILDING (3B CONSTRUCTION) WITH ROOF TOP DECK, DETACHED 3 CAR MASONRY GARAGE WITH ROOF TOP DECK (3B CONSTRUCTION) AS PER PLAN.",1059 N Paulina St,100502918,1
PERMIT - WRECKING/DEMOLITION,WRECK & REMOVE 3 STORY FRAME RESIDENCE,1067 N Paulina St,100515276,PERMIT - NEW CONSTRUCTION,"SELF CERTIFICATION REVIEW: ERECT 3 D.U. MASONRY BUILDING WITH ROOF TOP DECK (3B CONSTRUCTION), DETACHED 3 CAR MASONRY GARAGE WITH ROOF TOP DECK (3B CONSTRUCTION) AS PER PLAN. CONDITIONAL PERMIT SUBJECT TO FIELD INSPECTION.",1067 N Paulina St,100515114,1
PERMIT - WRECKING/DEMOLITION,WRECK AND REMOVE 1 STORY FRAME SINGLE FAMILY AND DETACHED FRAME GARAGE,1068 N Paulina St,100459166,PERMIT - NEW CONSTRUCTION,SELF CERTIFICATION REVIEW: ERECT 3 D.U. MASONRY BUILDING (3B CONSTRUCTION) WITH ROOF TOP DECK; DETACHED 3 CAR MASONRY GARAGE (3B CONSTRUCTION) WITH GARAGE ROOF TOP DECK AS PER PLAN.*********THIS PERMIT IS VOIDED IF THE WRECKING PERMIT IS NOT OBTAINED WITHIN THIRTY DAYS FROM THE ISSUING DATE OF THIS PERMIT********(**SELF CERT CONDITIONAL PERMIT: SUBJECT TO FIELD INSPECTIONS **),1068 N Paulina St,100459659,1
PERMIT - WRECKING/DEMOLITION,WRECK AND REMOVE 1 STORY SINGLE FAMILY FRAME HOUSE AND FRAME DETACHED GARAGE.,10824 S St Louis Ave,100492606,PERMIT - NEW CONSTRUCTION,"SELF-CERTIFICATION OF 2 STORY MASONRY AND FRAME CONSTRUCTION SINGLE FAMILY RESIDENCE WITH FULL BASEMENT, UNFINISHED, AND TWO CAR ATTACHED GARAGE.",10824 S St Louis Ave,100485760,19
PERMIT - WRECKING/DEMOLITION,WRECK AND REMOVE A 2 STORY MASONRY BUILDING.,1084 N Hermitage Ave,100538782,PERMIT - NEW CONSTRUCTION,"ERECT NEW 3 STORY, III-B, 3DU APARTMENT BUILDING W/BASEMENT, ROOF DECK AND DETACHED GARAGE AS PER PLANS*********THIS PERMIT IS VOIDED IF THE WRECKING PERMIT IS NOT OBTAINED WITHIN THIRTY DAYS FROM THE ISSUING DATE OF THIS PERMIT*******",1084 N Hermitage Ave,100533304,1
PERMIT - WRECKING/DEMOLITION,WRECK AND REMOVE 1 STORY WAREHOUSE AND 3 STORY BRICK BUILDING,1100 W Adams St,100482575,PERMIT - NEW CONSTRUCTION,"FOUNDATION ONLY FOR A 6 STORY, 39 DWELLING UNIT BUILDING AS PER PLANS",1100 W Adams St,100478423,25
PERMIT - WRECKING/DEMOLITION,WRECK & REMOVE 3 STORY BRICK BUILDING & 1 STORY BRICK GARAGE,1110 N Paulina St,100521090,PERMIT - NEW CONSTRUCTION,"SELF CERTIFICATION REVIEW: ERECT 3 D.U. MASONRY BUILDING (3B CONSTRUCTION) WITH ROOF TOP DECK, DETACHED 3 CAR MASONRY GARAGE WITH ROOF TOP DECK (3B CONSTRUCTION) AS PER PLAN.",1110 N Paulina St,100522643,1
PERMIT - WRECKING/DEMOLITION,WRECK & REMOVE 2 STORY FRAME RESIDENCE & 1 STORY FRAME GARAGE,1119 W Lill Ave,100527668,PERMIT - NEW CONSTRUCTION,"ERECT A 3 STORY , IVA  FRAME SINGLE FAMILY RESIDENCE WITH BASEMENT AND 2 CAR GARAGE PER PLANS",1119 W Lill Ave,100527367,43
PERMIT - WRECKING/DEMOLITION,WRECK AND REMOVE A 3 STORY FRAME RESIDENCE AND DETACHED FRAME GARAGE,1131 W Lill Ave,100489879,PERMIT - NEW CONSTRUCTION,"ERECT A NEW 3 STORY FRAME SINGLE FAMILY RESIDENCE WITH BASEMENT TYPE 4A CONSTRUCTION, NEW NON-COMBUSTIBLE STAIR SYSTEM IN THE REAR, A NEW 1 STORY DETACHED 2 CAR FRAME GARAGE 19' X 21' AS PER PLANS.",1131 W Lill Ave,100486739,43
PERMIT - WRECKING/DEMOLITION,WRECK AND REMOVE AN EXISTING FRAME SINGLE FAMILY HOME AND FRAME GARAGE.,1136 W Barry Ave,100529193,PERMIT - NEW CONSTRUCTION,"ERECT A 2 STORY ,IVA FRAME SINGLE FAMILY RESIDENCE WITH BASEMENT  AND DETACHED 2 CAR PRIVATE GARAGE WITH ROOF DECK PER PLANS",1136 W Barry Ave,100523748,44
PERMIT - WRECKING/DEMOLITION,WRECK AND REMOVE A 2 STORY BRICK CHURCH BUILDING,1137 N Leavitt St,100523294,PERMIT - NEW CONSTRUCTION,"ERECT NEW 3 STORY,3 UNITS MASONRY BUILDING WITH BASEMENT AND ROOF PENTHOUSE; ALSO ERECT NEW MASONRY GARAGE WITH ROOF DECK. ALL WORK DONE AS PER ARCHITECTURAL PLANS.",1137 N Leavitt St,100523412,2
PERMIT - WRECKING/DEMOLITION,WRECK AND REMOVE A 2 STORY BRICK BUILDING,1139 N Leavitt St,100523518,PERMIT - NEW CONSTRUCTION,"ERECT NEW 3-STORY, 3 UNITS MASONRY BUILDING WITH BASEMENT AND ROOF PENTHOUSE; ALSO ERECT NEW MASONRY GARAGE WITH ROOF DECK. ALL WORK DONE AS PER ARCHITECTURAL PLANS.",1139 N Leavitt St,100523546,2
PERMIT - WRECKING/DEMOLITION,WRECK & REMOVE 1 STORY MASONRY SINGLE FAMILY RESIDENCE & 1 STORY FRAME GARAGE,1140 W Montana St,100503022,PERMIT - NEW CONSTRUCTION,SELF CERT RESIDENTIAL - ERECT NEW SINGLE FAMILY RESIDENCE AS PER PLANS.,1140 W Montana St,100503646,43
PERMIT - WRECKING/DEMOLITION,DEMOLITION OF A 2 STORY FRAME SFR.,1141 W 25th St,100476417,PERMIT - NEW CONSTRUCTION,ERECT A NEW 2 STORY MASONRY SINGLE FAMILY HOME WITH BASEMENT AND A 2 CAR DETACHED FRAME GARAGE AS PER PLANS.******THIS PERMIT IS VOIDED IF THE WRECKING APPLICATION IS NOT OBTAINED WITHIN THIRTY DAYS FROM THE ISSUING DATE OF THIS PERMIT***********,1141 W 25th St,100476479,11
PERMIT - WRECKING/DEMOLITION,WRECK AND REMOVE A 1 STORY FRAME RESIDENCE,1143 W Schubert Ave,100505536,PERMIT - NEW CONSTRUCTION,SELF CERTIFICATION REVIEW: ERECT FRAME SINGLE FAMILY RESIDENCE (4A CONSTRUCTION) WITH DETACHED 2 CAR FRAME GARAGE WITH ROOF TOP DECK (4A CONSTRUCTION) AS PER PLAN.,1143 W Schubert Ave,100505383,43
PERMIT - WRECKING/DEMOLITION,WRECK & REMOVE 1 STORY FRAME SINGLE FAMILY RESIDENCE & 1 STORY FRAME GARAGE,1144 W Montana St,100503023,PERMIT - NEW CONSTRUCTION,SELF CERT RESIDENTIAL - ERECT NEW SINGLE FAMILY HOME AS PER PLANS. (Subject to audit & field inspection),1144 W Montana St,100503660,43
PERMIT - WRECKING/DEMOLITION,WRECK AND REMOVE A 2 STORY FRAME.,1152 W Newport Ave,100488811,PERMIT - NEW CONSTRUCTION,ERECT A NEW THREE STORY MASONRY THREE UNIT BUILDING WITH BASEMENT AND A THREE CAR MASONRY GARAGE WITH ROOF DECK AS PER PLANS,1152 W Newport Ave,100481780,44
PERMIT - WRECKING/DEMOLITION,WRECK AND REMOVE A HUB BUILDING ADJACENT TO RTR A (BUILDING #964).,11601 W Touhy Ave,100480320,PERMIT - NEW CONSTRUCTION,"NEW AIRPORT TRAFFIC CONTROL TOWER FOR O'HARE INTERNATIONAL AIRPORT.  ADDRESS TBD.",11601 W Touhy Ave,100464961,0
PERMIT - WRECKING/DEMOLITION,WRECK & REMOVE 1 STORY CONCRETE MASONRY UNIT BUILDING WITH WOOD ROOF & SIDING (RTR-B-BUILDING #084),11601 W Touhy Ave,100485217,PERMIT - NEW CONSTRUCTION,"NEW AIRPORT TRAFFIC CONTROL TOWER FOR O'HARE INTERNATIONAL AIRPORT.  ADDRESS TBD.",11601 W Touhy Ave,100464961,0
PERMIT - WRECKING/DEMOLITION,"WRECK & REMOVE 1 STORY METAL BUILDING 964(RTR-A) AT O'HARE AIRPORT",11601 W Touhy Ave,100484865,PERMIT - NEW CONSTRUCTION,"NEW AIRPORT TRAFFIC CONTROL TOWER FOR O'HARE INTERNATIONAL AIRPORT.  ADDRESS TBD.",11601 W Touhy Ave,100464961,0
PERMIT - WRECKING/DEMOLITION,WRECK & REMOVE PRE-FABRICATED & STEEL BUILDING ON CONCRETE SLAB KNOWN AS GLIDE SLOPE SHED #962,11601 W Touhy Ave,100513446,PERMIT - NEW CONSTRUCTION,PERMIT EXPIRES ON 11/25/2013 erect a mobile stage for the Ohare 5k 10k on the runway event 9-29-2013 run to take place at 610 OHare Cargo area Road.,11601 W Touhy Ave,100510461,0
PERMIT - WRECKING/DEMOLITION,WRECK & REMOVE 1 STORY BRICK VACANT RESTAURANT,1164 W Madison St,100484317,PERMIT - NEW CONSTRUCTION,"OIA '1200 W MADISON ST' Foundation Only for a new 9-story, 216-unit residential apartment building with sprinkled 205-car, private garage and 22 exterior parking spaces (PD #931).",1164 W Madison St,100491297,25
PERMIT - WRECKING/DEMOLITION,WRECK AND REMOVE EXISTING 2 STORY FRAME RESIDENCE.,1214 W Barry Ave,100481290,PERMIT - NEW CONSTRUCTION,ERECT 3 STORY 3 DWELLING UNIT APARMENT BUILDING WITH 3 CAR GARAGE PER PLANS,1214 W Barry Ave,100482494,32
PERMIT - WRECKING/DEMOLITION,WRECK & REMOVE 1 1/2 FRAME RESIDENCE,1215 W Barry Ave,100446456,PERMIT - NEW CONSTRUCTION,NEW 3 STORY 3 DWELLING UNIT APARMENT BUILDING PER PLANS,1215 W Barry Ave,100446076,32
PERMIT - WRECKING/DEMOLITION,WRECK AND REMOVE A 2 STORY BRICK RESIDENCE AND DETACHED FRAME GARAGE,1216 W Hubbard St,100494922,PERMIT - NEW CONSTRUCTION,"ERECT 3 D.U. MASONRY BUILDING (3B CONSTRUCTION) WITH ROOF TOP DECK, DETACHED 1 CAR MASONRY GARAGE (3B CONSTRUCTION) & DETACHED 2 CAR MASONRY GARAGE WITH ROOF TOP DECK (3B CONSTRUCTION) AS PER PLAN.**SELF-CERTIFICATION - CONDITIONAL PERMIT: SUBJECT TO FIELD INSPECTIONS & AUDIT**",1216 W Hubbard St,100497309,27
PERMIT - WRECKING/DEMOLITION,WRECK AND REMOVE ONE STORY FRAME RESIDENCE AND DETACHED FRAME GARAGE.,1222 W Nelson St,100512651,PERMIT - NEW CONSTRUCTION,ERECT A NEW TWO STORY SINGLE FAMILY RESIDENCE WITH BASEMENT AND A NEW TWO CAR GARAGE WITH ROOF DECK AS PER PLANS. CONDITIONAL PERMIT SUBJECT TO FIELD INSPECTION.,1222 W Nelson St,100515264,32
PERMIT - WRECKING/DEMOLITION,WRECK & REMOVE FRONT FRAME SINGLE FAMILY RESIDENCE,1225 W Wellington Ave,100458440,PERMIT - NEW CONSTRUCTION,"ERECT 2 STORY IV FRAME CONTRUCTION SINGLE FAMILY RESIDENCE,WITH 2 CAR GARAGE  AND ROOF DECK PER PLANS",1225 W Wellington Ave,100457488,32
PERMIT - WRECKING/DEMOLITION,WRECK & REMOVE FRAME SINGLE FAMILY COACH HOUSE,1225 W Wellington Ave,100458438,PERMIT - NEW CONSTRUCTION,"ERECT 2 STORY IV FRAME CONTRUCTION SINGLE FAMILY RESIDENCE,WITH 2 CAR GARAGE  AND ROOF DECK PER PLANS",1225 W Wellington Ave,100457488,32
PERMIT - WRECKING/DEMOLITION,WRECK AND REMOVE A 2 STORY FRAME BUILDING.,1229 N Cleaver St,100500371,PERMIT - NEW CONSTRUCTION,"SELF CERTIFICATION REVIEW: ERECT 3 D.U. MASONRY BUILDING (3B CONSTRUCTION) WITH ROOF TOP DECK, DETACHED 3 CAR MASONRY GARAGE (3B CONSTRUCTION) WITH ROOF TOP DECK AS PER PLAN.  ***This permit will be voided in 30 days from the issuing date of this permit if Wrecking Permit is not obtained***",1229 N Cleaver St,100491970,2
PERMIT - WRECKING/DEMOLITION,WRECK AND REMOVE A 2 STORY FRAME RESIDENCE AND DETACHED FRAME GARAGE,1230 W Henderson St,100494743,PERMIT - NEW CONSTRUCTION,SELF CERTIFICATION REVIEW: ERECT FRAME SINGLE FAMILY RESIDENCE WITH ROOF TOP DECK (4A CONSTRUCTION) WITH DETACHED 2 CAR FRAME GARAGE  WITH ROOF TOP DECK (4A CONSTRUCTION) AS PER PLAN.,1230 W Henderson St,100503994,44
PERMIT - WRECKING/DEMOLITION,WRECK & REMOVE 2 STORY BRICK SINGLE FAMILY RESIDENCE & 1 STORY BRICK GARAGE,1237 W Roscoe St,100504018,PERMIT - NEW CONSTRUCTION,"*SELF CERT* ERECT NEW 3 STORY MASONRY SINGLE FAMILY RESIDENCE WITH BASEMENT, AND ERECT REAR DETACHED NEW MASONRY 2 CAR GARAGE WITH ROOF DECK, AS PER PLANS.",1237 W Roscoe St,100506786,44
PERMIT - WRECKING/DEMOLITION,WRECK AND REMOVE EXISTING 2 STORY FRAME RESIDENCE.,1238 W School St,100539092,PERMIT - NEW CONSTRUCTION,THREE STORY FULLY SPRINKLERED IIIB MASONRY SINGLE FAMILY RESIDENCE WITHBASEMENT AND TWO CAR MASONRY GARAGE WITH ROOF DECK PER PLANS.  **Self-Certification Project  -  Conditional Permit: Subject to audit & field inspections**   ***This permit will be voided in 30 days from the issuing date of this permit if Wrecking Permit is not obtained***,1238 W School St,100541984,44
PERMIT - WRECKING/DEMOLITION,WRECK AND REMOVE AN EXISTING 1 STORY BRICK SINGLE FAMILY HOME.,1239 N Paulina St,100504678,PERMIT - NEW CONSTRUCTION,NEW MASONRY 3 STORY WITH BASEMENT SINGLE FAMILY WITH BASEMENT- SPRINKLERED AND NEW 1 STORY GARAGE WITH ROOF DECK******THIS PERMIT IS VOIDED IF THE WRECKING PERMIT IS NOT OBTAINED WITHIN THIRTY DAYS FROM THE ISSUING DATE OF THIS PERMIT*********,1239 N Paulina St,100502317,1
PERMIT - WRECKING/DEMOLITION,WRECK & REMOVE 1 STORY BRICK COMMERCIAL BUILDING,123 N Desplaines St,100475005,PERMIT - NEW CONSTRUCTION,"ERECT NEW FOUNDATION, GROUND FLOOR AND 2 STORY PARKING GARAGE FOR A 19 NEW STORY APARTMENT BUILDING WITH GREEN ROOF",123 N Desplaines St,100484108,42
PERMIT - WRECKING/DEMOLITION,WRECK AND REMOVE A 3 STORY FRAME RESIDENCE,1242 W Barry Ave,100546566,PERMIT - NEW CONSTRUCTION,"ERECT A 2 STORY ,IVA FRAME SINGLE FAMILY RESIDENCE WITH BASEMENT AND 2 CAR GARAGE WITH ROOF DECK PER PLANS",1242 W Barry Ave,100532577,32
PERMIT - WRECKING/DEMOLITION,WRECK AND REMOVE 2 STORY BRICK BUILDING,1244 W George St,100448499,PERMIT - NEW CONSTRUCTION,"ERECT FRAME SINGLE FAMILY RESIDENCE (4A CONSTRUCTION) WITH ROOF TOP DECK, DETACHED 2 CAR FRAME GARAGE (4A CONSTRUCTION) WITH ROOF TOP DECK AS PER PLAN.",1244 W George St,100452279,32
PERMIT - WRECKING/DEMOLITION,WRECK AND REMOVE 2 STORY BRICK RESIDENCE AND DETACHED GARAGE,1248 W Grace St,100470571,PERMIT - NEW CONSTRUCTION,ERECT A 3 STORY 3B MASONRY 3 UNIT APARMENT BUILDING WITH 3 CAR GARAGE WITH ROOF DECK AND STAIR AS PER PLANS,1248 W Grace St,100468278,44
PERMIT - WRECKING/DEMOLITION,WRECK & REMOVE 2 STORY FRAME RESIDENCE & 1 STORY FRAME GARAGE,1250 W Barry Ave,100483394,PERMIT - NEW CONSTRUCTION,ERECT TWO STORY IVA FRAME SINGLE FAMILY RESIDENCE WITH BASEMENT AND DETACHED  GARAGE,1250 W Barry Ave,100484017,32
PERMIT - WRECKING/DEMOLITION,WRECK AND REMOVE A 1 1/2 STORY FRAME MULTI FAMILY HOME.,1252 W Barry Ave,100475294,PERMIT - NEW CONSTRUCTION,ERECT TWO STORY IVA FRAME SINGLE FAMILY RESIDENCE WITH BASEMENT  AND DETACHED GARAGE (conditional approval subject to field inspection),1252 W Barry Ave,100477738,32
PERMIT - WRECKING/DEMOLITION,WRECK AND REMOVE A 1 STORY FRAME & BRICK GARAGE.,1254 W Barry Ave,100475292,PERMIT - NEW CONSTRUCTION,"ERECT A TWO STORY IVA FRAME SINGLE FAMILY RESIDENCE WITH BASEMENT, 6' X 27 L.F. WOOD FENCE AT REAR AND DETACHED ONE STORY METAL FRAME GARAGE PER PLANS **SELF CERT CONDITIONAL PERMIT: SUBJECT TO FIELD INSPECTIONS **",1254 W Barry Ave,100478009,32
PERMIT - WRECKING/DEMOLITION,WRECK AND REMOVE A FRAME SINGLE FAMILY RESIDENCE,1308 W Addison St,100447079,PERMIT - NEW CONSTRUCTION,"ERECT NEW 3 STORY, III-B, 5 DWELLING UNIT APARTMENT BUILDING W/ BASEMENT AND DETACHED 6 CAR GARAGE AS PER PLANS **********THIS PERMIT WILL BE VOIDED IN THIRTY DAYS FROM THE ISSUING DATE OF THIS PERMIT IF BOTH WRECKING PERMITS WERE NOT OBTAINED**********",1308 W Addison St,100448065,44
PERMIT - WRECKING/DEMOLITION,WRECK & REMOVE 2 STORY FRAME RESIDENCE & 1 STORY FRAME GARAGE,1317 W Melrose St,100474026,PERMIT - NEW CONSTRUCTION,ERECT A 3 STORY IIIB MASONRY  CONSTRUCTION SINGLE FAMILY RESIDENCE WITH BASEMENT AND 2 CAR GARAGE WITH ROOF DECK,1317 W Melrose St,100473547,44
PERMIT - WRECKING/DEMOLITION,WRECK AND REMOVE A 2 STORY BRICK RESIDENCE AND DETACHED FRAME GARAGE,1320 N Leavitt St,100496441,PERMIT - NEW CONSTRUCTION,NEW MASONRY SINGLE FAMILY RESIDENCE WITH BASEMENT AND NEW MASONRY 2 CAR GARAGE WITH ROOF DECK AND METAL DECK AND STAIRS AS PER ARCHITECTURAL PLANS.,1320 N Leavitt St,100490375,1
PERMIT - WRECKING/DEMOLITION,WRECK AND REMOVE 1 STORY FRAME SINGLE FAMILY & 1 STORY FRAME GARAGE,1320 W Nelson St,100485894,PERMIT - NEW CONSTRUCTION,"ERECT TWO STORY FRAME SINGLE FAMILY RESIDENCE WITH BASEMENT , AND TWO CAR GARAGE WITH ROOF DECK PER PLANS",1320 W Nelson St,100485291,32
PERMIT - WRECKING/DEMOLITION,WRECK AND REMOVE A 1 1/2 STORY FRAME RESIDENCE AND DETACHED FRAME GARAGE,1321 W Melrose St,100540985,PERMIT - NEW CONSTRUCTION,"ERECT A 3 STORY ,IIIB MASONRY SINGLE FAMILY RESIDENCE WITH BAEMENT AND 2 CAR GARAGE WITH ROOF DECK PER PLANS",1321 W Melrose St,100539480,44
PERMIT - WRECKING/DEMOLITION,WRECK AND REMOVE 2 STORY FRAME RESIDENCE,1322 W Chestnut St,100479338,PERMIT - NEW CONSTRUCTION,SELF CERTIFICATION REVIEW: ERECT FRAME SINGLE FAMILY RESIDENCE (4A CONSTRUCTION) WITH DETACHED 2 CAR FRAME GARAGE WITH GARAGE ROOF TOP DECK  (4A CONSTRUCTION) AS PER PLAN.,1322 W Chestnut St,100474448,27
PERMIT - WRECKING/DEMOLITION,WRECK AND REMOVE A 2 STORY 2 UNIT FRAME RESIDENTIAL BUILDING.,1326 W Chestnut St,100542341,PERMIT - NEW CONSTRUCTION,"PROPOSED NEW 3-STORY, 3 D.U. RESIDENTIAL MASONRY BUILDING WITH BASEMENT; NEW MASONRY GARAGE, PER PLAN.",1326 W Chestnut St,100542229,27
PERMIT - WRECKING/DEMOLITION,WRECK AND REMOVE A 3 STORY FRAME RESIDENCE AND DETACHED FRAME GARAGE.,1330 W School St,100508061,PERMIT - NEW CONSTRUCTION,ERECT  A THREE STORY  IIB MASONRY  SINGLE FAMILY RESIDENCE WITH BASEMENT  WITH 2 CAR GARAGE WITH ROOF DECK**SELF-CERTIFICATION - CONDITIONAL PERMIT: SUBJECT TO FIELD INSPECTIONS & AUDIT**,1330 W School St,100508651,44
PERMIT - WRECKING/DEMOLITION,WRECK AND REMOCE A FRAME MULTI USE FAMILY REDIDENCE WITH GARAGE.,1333 W George St,100490867,PERMIT - NEW CONSTRUCTION,"ERECT A 2 STORY, IVA FRAME SINGLE FAMILY RESIDENCE WITH BASEMENT  AND 2 CAR. GARAGE WITH A ROOF DECK AS PER PLANS. REVIEWED AS PROTOTYPE BASED ON #100485291 ISSUED 5/24/2013 FOR 1320 W. NELSON.",1333 W George St,100485503,32
PERMIT - WRECKING/DEMOLITION,WRECK & REMOVE 2 STORY FRAME BUILDING,1340 N Cleveland Ave,100476003,PERMIT - NEW CONSTRUCTION,"ERECT 3 D.U. MASONRY BUILDING (3B CONSTRUCTION) WITH ROOF TOP DECK, DETACHED 3 CAR MASONRY GARAGE (3B CONSTRUCTION) WITH ROOF TOP DECK AS PER PLAN.",1340 N Cleveland Ave,100478964,2
PERMIT - WRECKING/DEMOLITION,WRECK AND REMOVE A 1 STORY BRICK COMMERCIAL BUILDING.,1351 W Belmont Ave,100473035,PERMIT - NEW CONSTRUCTION,NEW 6 UNIT MASONRY APARMENT BUILDING OVER GROUND FLOOR COMERCIAL WITH DETACHED GARAGE,1351 W Belmont Ave,100480230,32
PERMIT - WRECKING/DEMOLITION,COMPLETE DEMOLITION OF A SINGLE FAMILY BRICK HOUSE.,1402 W Fuller St,100476665,PERMIT - NEW CONSTRUCTION,ERECT A 1 STORY WITH BASEMENT SINGLE FAMILY HOME AND 2 CAR DETACHED GARAGE AS PER PLANS.,1402 W Fuller St,100474484,11
PERMIT - WRECKING/DEMOLITION,WRECK AND REMOVE AN EXISTING FRAME RESIDENCE & FRAME GARAGE.,1416 W School St,100550046,PERMIT - NEW CONSTRUCTION,ERECT NEW SINGLE FAMILY RESIDENCE AND PRIVATE DETACHED GARAGE PER PLANS,1416 W School St,100550481,44
