_permit_type,work_description,address,permit_,issue_date,_permit_type(2),work_description(2),address(2),permit_(2),issue_date(2),b_ward,b_communityarea
PERMIT - WRECKING/DEMOLITION,WRECK AND REMOVE A FRAME MASONRY TWO FLAT AND GARAGE.,2307 N Greenview Ave,100088049,01/20/2006,PERMIT - NEW CONSTRUCTION,ERECT A NEW THREE STORY & BASEMENT SFR TYPE 3B W/ DETACHED MASONRY GARAGE AS PER PLANS,2307 N Greenview Ave,100078898,02/15/2006,2,68
PERMIT - WRECKING/DEMOLITION,WRECK AND REMOVE A FRAME TWO FLAT AND GARAGE.,2309 N Greenview Ave,100088051,01/20/2006,PERMIT - NEW CONSTRUCTION,ERECT A NEW THREE STORY & BASEMENT SFR TYPE 3B W/ DETACHED MASONRY GARAGE AS PER PLANS,2309 N Greenview Ave,100078917,02/16/2006,2,68
PERMIT - WRECKING/DEMOLITION,WRECK AND REMOVE A 2 STORY BRICK COMMERCIAL BUILDING.,918 W Belmont Ave,100061767,01/23/2006,PERMIT - NEW CONSTRUCTION,"4 STORY 24 UNIT RESIDENTIAL, UNDERGROUD PARKING",918 W Belmont Ave,100092898,02/23/2006,44,57
PERMIT - WRECKING/DEMOLITION,WRECK AND REMOVE A 2 STORY BUILDING,1935 W Dickens Ave,100069267,01/24/2006,PERMIT - NEW CONSTRUCTION,3-story masonry single family residence construction type IIIB w/ basement and private detached garage. Conditional Permit subject to site inspection,1935 W Dickens Ave,100099896,03/24/2006,32,23
PERMIT - WRECKING/DEMOLITION,WRECK AND REMOVE 2 STORY FRAME,1441 W Augusta Blvd,100078417,01/24/2006,PERMIT - NEW CONSTRUCTION,"Erect 6 D.U. masonry building with  6 exterior parking spaces on slab, 6' high 63' long wood fence, 6' high 4' by 10' wood trash enclosure. Prototype: 2636-38 W. Potomac. (Conditional Permit Subject to Field Inspection)",1441 W Augusta Blvd,100074121,01/30/2006,2,25
PERMIT - WRECKING/DEMOLITION,WRECK AND REMOVE A ONE STORY COMMERCIAL BRICK BUILDING.,1321 N Bell Ave,100064793,01/25/2006,PERMIT - NEW CONSTRUCTION,ERECT MASONRY SINGLE FAMILY RESIDENCE WITH DETACHED 2 CAR MASONRY GARAGE. CONDITIONAL PERMIT. CONDITIONAL PERMIT SUBJECT TO FIELD INSPECTION,1321 N Bell Ave,100092473,02/23/2006,1,25
PERMIT - WRECKING/DEMOLITION,WRECK & REMOVE A 2 STORY MULTI-FAMILY FRAME RESIDENCE,2846 N Sheffield Ave,100072511,01/25/2006,PERMIT - NEW CONSTRUCTION,"Erect 3 D.U. masonry building with 1st floor office with detached 2 car masonry garage, 6'high 6.5' by 5' masonry trash enclosure, 6' high 55' long wood fence. Prototype: 1449 W. Fullerton (conditional permit subject to field inspection)",2846 N Sheffield Ave,100073402,01/30/2006,44,57
PERMIT - WRECKING/DEMOLITION,WRECK AND REMOVE A ONE STORY SINGLE FAMILY RESIDENCE.,6160 N Nassau Ave,100080819,01/25/2006,PERMIT - NEW CONSTRUCTION,SFR AND DETACHED GARAGE RA CONSTRUCTIONN  AND DETACHED GARAGE AS PER PLAN,6160 N Nassau Ave,100086152,01/11/2006,41,36
PERMIT - WRECKING/DEMOLITION,WRECK AND REMOVE  A 3 STORY COMMERICAL BUILDING,1720 S Michigan Ave,100086214,01/30/2006,PERMIT - NEW CONSTRUCTION,CONSTRUCT FOUNDATION ONLY FOR A NEW 32 STORY RESIDENTIAL BUILDING WITH RETAIL AND PARKING ON GROUND FLOOR-CONDITIONAL PERMIT.,1720 S Michigan Ave,100103984,03/27/2006,3,34
PERMIT - WRECKING/DEMOLITION,WRECKING\DEMOLITION 2 STORY FRAME DEMOLITION WITH GARAGE,1543 W Montana St,100078950,01/31/2006,PERMIT - NEW CONSTRUCTION,ERECT 3 D.U. MASONRY BUILDING WITH DETACHED 3 CAR MASONRY GARAGE. This is a cond permit subject to review on site.Wrecking permit must be obtained before constructio  begins.,1543 W Montana St,100080586,01/13/2006,32,68
PERMIT - WRECKING/DEMOLITION,WRECK AND REMOVE A 1 STORY BRICK COMMERCIAL BUILDING,6124 N Broadway,100073575,02/02/2006,PERMIT - NEW CONSTRUCTION,"ERECT 5 STORY, 11 RESIDENTIAL UNIT BUILDING W/ BUSINESS SPACE AT GROUND LEVEL PER PLANS.",6124 N Broadway,100011918,02/06/2006,48,76
PERMIT - WRECKING/DEMOLITION,WRECK AND REMOVE A ONE STORY FRAME BUILDING.,3112 S Canal St,100087057,02/02/2006,PERMIT - NEW CONSTRUCTION,"Erection of a new 2-story, 2-dwelling unit residence w/ a new detached 2-car garage per plans. This is a cond. permit subject to review on site.WRECKING PERMIT MUST BE OBTAINED BEFORE CONSTRUCTION BEGINS.",3112 S Canal St,100077268,01/04/2006,11,58
PERMIT - WRECKING/DEMOLITION,WRECK AND REMOVE A SINGLE FAMILY HOUSE - NO GARAGE,2773 N Kenmore Ave,100071842,02/02/2006,PERMIT - NEW CONSTRUCTION,"Erect a new 3 story 3 dwelling unit 3B Masonry apartment building with basement.  CONDITIONAL PERMIT, PENDING WRECKING PERMIT BEING ISSUED WITHIN 30 DAYS OF THIS PERMIT ISSUANCE AND SUBJECT TO FIELD INPSECTION.",2773 N Kenmore Ave,100083049,12/19/2005,43,68
PERMIT - WRECKING/DEMOLITION,WRECK AND REMOVE A 1 STORY COMMERCIAL BRICK BUILDING,4625 S Pulaski Rd,100088856,02/02/2006,PERMIT - NEW CONSTRUCTION,Erect single story auto retail store as per plans. PROTOTYPE: 3452 W MONTROSE.  CONDITIONAL PERMIT SUBJECT TO FIELD INSPECTION.,4625 S Pulaski Rd,100087629,02/17/2006,14,54
PERMIT - WRECKING/DEMOLITION,WRECK AND REMOVE A SFR WITH GARAGE,4115 N Oakley Ave,100089729,02/02/2006,PERMIT - NEW CONSTRUCTION,ERECT 2 STORY W/ BSMT SFR W/ 2 CAR DETACHED FRAME GARAGE AS PER PLANS.CONDITIONAL PERMIT PENDING FIELD VERIFICATION.,4115 N Oakley Ave,100087667,01/24/2006,47,46
PERMIT - WRECKING/DEMOLITION,WRECK & REMOVE  A FRAME SINGLE FAMILY RESIDENCE AND GARAGE.,4015 N Sacramento Ave,100091150,02/02/2006,PERMIT - NEW CONSTRUCTION,"Erect a 2 story 4A frame single family residence with basement and detached frame garage with roof deck.  CONDITIONAL PERMIT, PENDING WRECKING PERMIT BEING ISSUED WITHIN 30 DAYS OF THIS PERMIT ISSUANCE AND SUBJECT TO FIELD INSPECTION.",4015 N Sacramento Ave,100095853,02/14/2006,33,16
PERMIT - WRECKING/DEMOLITION,WRECK AND REMOVE A 2 1/2 STORY FRAME HOUSE WITH A GARAGE.,4511 N Drake Ave,100082353,02/03/2006,PERMIT - NEW CONSTRUCTION,Erect a 2 story 4A frame single family residence with basement and detached frame 2 car garage.  CONDITIONAL PERMIT PENDING WRECKING PERMIT BEING ISSUED WITHIN 30 DAYS OF THIS PERMIT ISSUANCE AND SUBJECT TO FIELD INSPECTION.,4511 N Drake Ave,100090089,01/27/2006,33,14
PERMIT - WRECKING/DEMOLITION,WRECK AND REMOVE A 2 FLAT FRAME BUILDING AND REAR COACH HOUSE THAT EXTENDS TO 3104 N SPAULDING.,3106 N Spaulding Ave,100090243,02/03/2006,PERMIT - NEW CONSTRUCTION,Erect a 2 story 4A frame single family residence withbasement and detached frame 2 car garage per plans.THIS IS A COND. PERMIT SUBJECT TO REVIEW ON SITE.WRECKING PERMIT MUST BE OBTAINED BEFORE CONSTRUCTION BEGINS.,3106 N Spaulding Ave,100092078,01/26/2006,35,22
PERMIT - WRECKING/DEMOLITION,WRECK AND REMOVE A SINGLE FAMILY RESIDENCE AND GARAGE.,508 N Paulina St,100075277,02/06/2006,PERMIT - NEW CONSTRUCTION,"ERECT A MASONRY SINGLE FAMILY RESIDENCE WITH A DETACHED, 2-CAR, MASONRY GARAGE PER PLANS. (PROTOTYPE: 2416 W. ERIE).                                                                                            -CONDITIONAL PERMIT, SUBJECT TO FIELD VERIFICATION.",508 N Paulina St,100078262,02/08/2006,1,25
PERMIT - WRECKING/DEMOLITION,Wreck and remove foundation of single family.  House was wrecked without permit.,10562 S Lafayette Ave,100091673,02/06/2006,PERMIT - NEW CONSTRUCTION,ERECT SINGLE FAMILY RESIDENCE AS PER PLANS. CONDITIONAL PERMIT PENDING PROCUREMENT OF WRECKING PERMIT FOR EXISTING FOUNDATION WITHIN 30 DAYS OF PERMIT ISSUANCE (2.06.06) AND SUBJECT TO FIELD INSPECTION.,10562 S Lafayette Ave,100077626,02/06/2006,34,45
PERMIT - WRECKING/DEMOLITION,WRECK AND REMOVE A 1 SOTRY BRICK BUILDING,5625 S Newland Ave,100070943,02/06/2006,PERMIT - NEW CONSTRUCTION,erect new 2 story frame single family residence with basement and detached garage as per plans.,5625 S Newland Ave,100072569,01/11/2006,23,53
PERMIT - WRECKING/DEMOLITION,WRECK AND REMOVE A TWO STORY FRAME COMMERCIAL AND RESIDENTIAL BUILDING.,2622 N Halsted St,100088052,02/07/2006,PERMIT - NEW CONSTRUCTION,New 4 story mixed used building multifamily residential with business space of type 3b construction.,2622 N Halsted St,100054170,02/10/2006,43,68
PERMIT - WRECKING/DEMOLITION,WRECK AND REMOVE A 3 STORY BRICK BUILDING WITH GARAGE,640 W Aldine Ave,100074478,02/07/2006,PERMIT - NEW CONSTRUCTION,erect a 4 story 3b w/basement and attached 2 car garage as per plan (NEED WRECKING PERMIT 30 DAYS FROM ISSUANCE OF THIS PERMIT),640 W Aldine Ave,100074510,03/16/2006,44,57
PERMIT - WRECKING/DEMOLITION,WRECK AND REMOVE A SINGLE FAMILY RESIDENCE WITH A GARAGE.,1530 W Fry St,100085617,02/08/2006,PERMIT - NEW CONSTRUCTION,"ERECT NEW 3 STORY 3 D.U. MASONRY BUILDING WITH ATTACHED 3 CAR MASONRY GARAGE.  CONDITIONAL PERMIT, PENDING WRECKING PERMIT BEING ISSUED WITHIN 30 DAYS OF THIS PERMIT ISSUANCE AND SUBJECT TO FIELD INSPECTION.",1530 W Fry St,100084404,12/23/2005,1,25
PERMIT - WRECKING/DEMOLITION,WRECK AND REMOVE A 1 1\2 STORY FRAME & BRICK RESIDENTIAL BUILDING & FRAME,3134 N Oketo Ave,100083341,02/08/2006,PERMIT - NEW CONSTRUCTION,Erect a new 2 story brick & frame building as per plans.,3134 N Oketo Ave,100084225,02/15/2006,29,17
PERMIT - WRECKING/DEMOLITION,WRECK AND REMOVE A 2 STORY BRICK,1843 W North Ave,100071451,02/08/2006,PERMIT - NEW CONSTRUCTION,"ERECT 4 STORY 6DU, 2 COMMERCIAL UNIT, 3B BUILDING AS PER PLANS WITH ATTACHED GARAGE.",1843 W North Ave,100102277,04/06/2006,2,25
PERMIT - WRECKING/DEMOLITION,WRECK AND REMOVE A TWO STORY BRICK SINGLE FAMILY RESIDENCE AND GARAGE.,2540 N Burling St,100081859,02/09/2006,PERMIT - NEW CONSTRUCTION,Erect a new brick Single Family Dwelling with attached garage per plans.THIS IS A COND.PERMIT SUBJECT TO REVIEW ON SITE. WRECKING PERMIT MUST BE OBTAINED BEFORE CONSTRUCTION BEGINS.,2540 N Burling St,100084977,01/27/2006,43,68
PERMIT - WRECKING/DEMOLITION,WRECK AND REMOVE A SINGLE FAMILY HOME BRICK WITH GARAGE AND BASEMENT.,3910 N Pioneer Ave,100070756,02/09/2006,PERMIT - NEW CONSTRUCTION,ERECT ONE STORY SINGLE FAMILY RESIDENCE W/ BASEMENT AND DETACHED GARAGE AS PER PLANS.  CONDITIONAL PERMIT PENDING FIELD VERIFICATION,3910 N Pioneer Ave,100080792,01/04/2006,38,17
PERMIT - WRECKING/DEMOLITION,WRECK AND REMOVE A 2 STORY FRAME,515 N Marshfield Ave,100092535,02/10/2006,PERMIT - NEW CONSTRUCTION,New 2 story 3B solid masonry Single Family Residence w/detached garage as per plans.CONDITIONAL PERMIT SUBJECT TO SITE INSPECTION.,515 N Marshfield Ave,100102298,03/17/2006,1,25
PERMIT - WRECKING/DEMOLITION,WRECK AND REMOVE A SINGLE FAMILY FRAME WITH GARAGE,3702 N Mozart St,100090246,02/10/2006,PERMIT - NEW CONSTRUCTION,Eerect a 2 story 4A frame single family residence with basement and detached frame 2 car garage.  CONDITIONAL PERMIT SUBJECT TO FIELD INSPECTION.,3702 N Mozart St,100090659,01/31/2006,33,16
PERMIT - WRECKING/DEMOLITION,WRECK AND REMOVE A FRAME GARAGE.,1719 W Winona St,100076356,02/15/2006,PERMIT - NEW CONSTRUCTION,ERECT HOOD FRAME SINGLE FAMILY RESIDENCE WITH DETACHED 2 CAR WOOD FRAME GARAGE,1719 W Winona St,100076572,02/22/2006,40,31
PERMIT - WRECKING/DEMOLITION,WRECK AND REMOVE A SINGLE FAMILY RESIDENCE.,1721 W Winona St,100076361,02/15/2006,PERMIT - NEW CONSTRUCTION,ERECT HOOD FRAME SINGLE FAMILY RESIDENCE WITH DETACHED 2 CAR WOOD FRAME GARAGE,1721 W Winona St,100076579,02/22/2006,40,31
PERMIT - WRECKING/DEMOLITION,WRECK AND REMOVE OF RESIDENCE BUILDING,3717 N Damen Ave,100080719,02/16/2006,PERMIT - NEW CONSTRUCTION,ERECT 3 D.U. MASONRY BUILDING WITH DETACHED 3 CAR MASONRY GARAGE. CONDITIONAL PERMIT SUBJECT TO FIELD INSPECTION.,3717 N Damen Ave,100083223,02/22/2006,47,46
PERMIT - WRECKING/DEMOLITION,WRECK AND REMOVE A 2 STORY BRICK WAREHOUSE,1718 N Wood St,100088859,02/16/2006,PERMIT - NEW CONSTRUCTION,Erect a new 3 story masonry single family residence with a detached masonry garage,1718 N Wood St,100094547,03/24/2006,32,25
PERMIT - WRECKING/DEMOLITION,WRECK AND REMOVE A SINGLE FAMILY RESIDENCE.,5800 N Kilbourn Ave,100086080,02/16/2006,PERMIT - NEW CONSTRUCTION,"erect new 2 story wood frame w/ brick veneer residence with basement and attached garage as per plans. CONDITIONAL PERMIT PENDING FIELD VERIFICATION. IN ADDITION, THIS PERMIT WILL BE VOIDED IF A WRECKING PERMIT IS NOT ON SITE WITHIN 30 DAYS OF THE DATE PRINTED ON THIS PERMIT.",5800 N Kilbourn Ave,100092523,02/03/2006,39,12
PERMIT - WRECKING/DEMOLITION,WRECK AND REMOVAL OF A TWO (2) STORY BRICK THREE (3) UNIT RESIDENTIAL BUILD,2120 W Giddings St,100084602,02/16/2006,PERMIT - NEW CONSTRUCTION,CONSTRUCT A TWO STORY FRAME SINGLE FAMILY RESIDENCE PER PLANS,2120 W Giddings St,100089006,03/10/2006,47,6
PERMIT - WRECKING/DEMOLITION,WRECK AND REMOVE A 2 STORY BRICK BUILDING,2428 W Augusta Blvd,100078801,02/16/2006,PERMIT - NEW CONSTRUCTION,PROPOSED 3 DU MASONRY BUILDING AS PER PLANS,2428 W Augusta Blvd,100079221,03/01/2006,26,25
PERMIT - WRECKING/DEMOLITION,WRECK AND REMOVE A 2 STORY FRAME BUILDING,2430 W Augusta Blvd,100093097,02/16/2006,PERMIT - NEW CONSTRUCTION,"Erect new 2 story 3 dwelling unit masonry building with basement and 3 story porch and stairs.  Conditional Permit, subject to field inspection.",2430 W Augusta Blvd,100103749,03/24/2006,26,25
PERMIT - WRECKING/DEMOLITION,WRECK AND REMOVE A 1 STORY BRICK SINGLE FAMILY WITH GARAGE,2743 W Thomas St,100088971,02/16/2006,PERMIT - NEW CONSTRUCTION,"erect new 3 Story solid masonry building. 3 dwelling units w/ basement and detached garage as per plans. CONDITIONAL PERMIT PENDING FIELD VERIFICATION, IN ADDITION THIS PERMIT WILL BE VOID IF THE WRECKING IS NOT ON SITE WITHIN 30 DAYS FROM THE DATE PRINTED ON THIS PERMIT",2743 W Thomas St,100089632,01/13/2006,1,25
PERMIT - WRECKING/DEMOLITION,WRECK AND REMOVAL OF A TWO (2) STORY BRICK TWO (2) UNITS BUILDING,2434 W Augusta Blvd,100087071,02/16/2006,PERMIT - NEW CONSTRUCTION,"ERECT 3 D.U. MASONRY BUILDING AND 6' HIGH 3'-0"" x 8'-0"" WOOD TRASH ENCLOSURE.",2434 W Augusta Blvd,100088672,01/23/2006,26,25
PERMIT - WRECKING/DEMOLITION,WRECK AND REMOVAL OF A TWO (2) STORY TWO (2) UNIT BRICK BUILDING,1513 W Huron St,100087072,02/16/2006,PERMIT - NEW CONSTRUCTION,ERECT 3 STORY MASONRY SINGLE FAMILY RESIDENCE WITH DETACHED 2 CAR MASONRY GARAGE. THIS A COND. PERMIT SUBJECT TO REVIEW ON SITE. WRECKING PERMIT MUST BE OBTAINED BEFORE CONSTRUCTION BEGINS.,1513 W Huron St,100088414,01/25/2006,1,25
PERMIT - WRECKING/DEMOLITION,WRECK AND REMOVAL OF A TWO (2) STORY BRICK TWO (2) UNIT RESIDENTIAL BUILDING,2030 W Wilson Ave,100084603,02/16/2006,PERMIT - NEW CONSTRUCTION,new 4a 2 story sfr as per plan (no garage),2030 W Wilson Ave,100088059,03/02/2006,47,6
PERMIT - WRECKING/DEMOLITION,WRECK AND REMOVE A 1 STORY BRICK WITH FRAME GARAGE,6208 N Talman Ave,100092547,02/16/2006,PERMIT - NEW CONSTRUCTION,"ERECT 4 D.U. MASONRY BUILDING with 6'HIGH 56' LONG WOOD FENCE, 6' HIGH 3' BY 8'-6"" WOOD TRASH ENCLOSURE.Prototype: 6216 N. FAIRFIELD. Conditional Permit. Subject to Field Inspection.",6208 N Talman Ave,100094373,03/31/2006,50,20
PERMIT - WRECKING/DEMOLITION,WRECK AND REMOVE A 3 STORY BRICK BUILDING.,945 W Belmont Ave,100094851,02/17/2006,PERMIT - NEW CONSTRUCTION,Construct elevated structure to surport  pre-fabricated relay house  per  plans.,945 W Belmont Ave,100048432,01/25/2006,44,57
PERMIT - WRECKING/DEMOLITION,WRECK AND REMOVE A 3 STORY BRICK BUILDING.,945 W Belmont Ave,100094851,02/17/2006,PERMIT - NEW CONSTRUCTION,CTA BELMONT STATION                                               FOUNDATION ONLY FOR NEW TRANSIT STATION,945 W Belmont Ave,100096094,02/15/2006,44,57
PERMIT - WRECKING/DEMOLITION,WRECK AND REMOVE A 2 STORY FRAME,2503 W Fullerton Ave,100090696,02/17/2006,PERMIT - NEW CONSTRUCTION,new 3du and 1 fl commercial as per plan,2503 W Fullerton Ave,100058269,03/10/2006,1,23
PERMIT - WRECKING/DEMOLITION,WRECK AND REMOVE A 1 STORY BRICK,6454 N Sacramento Ave,100092549,02/17/2006,PERMIT - NEW CONSTRUCTION,"ERECT 4 D.U. MASONRY BUILDING WITH 6' HIGH 8'-6""x3'-0"" WOOD TRASH ENCLOSURE AND 6' HIGH 57'-10 1/2"" LONG WOOD FENCE CONDITIONAL PERMIT. SUBJECT TO FIELD INSPECTION. PROTOTYPE: 6216 N. FAIRFIELD",6454 N Sacramento Ave,100094353,03/21/2006,50,20
PERMIT - WRECKING/DEMOLITION,WRECK AND REMOVE A FRAME SINGLE FAMILY & GARAGE,1443 W Belmont Ave,100079481,02/21/2006,PERMIT - NEW CONSTRUCTION,erect a 4-story 111-b masonry 3-unit building over ground floor commercial and attached 2 car garage as per plans.,1443 W Belmont Ave,100082065,01/31/2006,32,57
PERMIT - WRECKING/DEMOLITION,TOTAL DEMOLITION OF FORMER RESTAURANT AND 4 STORY PARKING GARGAE.,550 N St Clair St,100095191,02/21/2006,PERMIT - NEW CONSTRUCTION,CONDITIONAL PERMIT - ERECT NEW 27 STORY MIXED USED BUILDING PER PLANS.,550 N St Clair St,100102407,03/31/2006,42,37
PERMIT - WRECKING/DEMOLITION,REVISION TO PERMIT #100065763 ISSUED 02/17/2006 TO CORRECT ADDRESS AND OWNER INFORMATION ON PERMIT.,1856 N Fairfield Ave,100097094,02/21/2006,PERMIT - NEW CONSTRUCTION,"Erect new 2 story with basement single family residence.  Conditional Permit, pending wrecking permit being issued within 30 days of this permit issuance.",1856 N Fairfield Ave,100091139,04/14/2006,1,23
PERMIT - WRECKING/DEMOLITION,WRECK AND REMOVE A 2 STORY UNIT FRAME BUILDING,5307 W Leland Ave,100092097,02/21/2006,PERMIT - NEW CONSTRUCTION,Erect 2 story 2 dwelling unit building as per plans,5307 W Leland Ave,100058702,02/21/2006,45,15
PERMIT - WRECKING/DEMOLITION,WRECK AND REMOVE A 1 1/2 STORY BRICK SINGLE FAMILY UNIT AND GARAGE.,1061 N Spaulding Ave,100090579,02/22/2006,PERMIT - NEW CONSTRUCTION,Erect new 2 story frame single family residence with basement and detached 2 car frame garage.,1061 N Spaulding Ave,100079718,02/28/2006,26,24
PERMIT - WRECKING/DEMOLITION,WRECK AND REMOVE A TWO STORY FRAME BUILDING.,441 W Briar Pl,100062555,02/23/2006,PERMIT - NEW CONSTRUCTION,"erect 5story, 1-c 3du apartment building w/garage as per plans.",441 W Briar Pl,100074312,03/08/2006,44,57
PERMIT - WRECKING/DEMOLITION,WRECK AND REMOVE EXISTING STRUCTURE,2116 W Arthur Ave,100084377,02/23/2006,PERMIT - NEW CONSTRUCTION,"Erect a 3-story, 3B, 4-unit, apartment building with basement per plans.                                                                 -CONDITIONAL PERMIT, SUBJECT TO FIELD VERIFICATION.",2116 W Arthur Ave,100083558,02/27/2006,50,20
PERMIT - WRECKING/DEMOLITION,WRECK AND REMOVE AN EXISTING STRUCTURE & GARAGE,1933 W Fletcher St,100087942,02/23/2006,PERMIT - NEW CONSTRUCTION,ERECT A 2 STORY (IVA) FRAME SINGLE FAMILY RESIDENCE WITH BASEMENT AND DETACHED FRAME 2 CAR GARAGE WITH ROOF DECK PER PLANS. CONDITIONAL PERMIT SUBJECT TO SITE INSPECTION,1933 W Fletcher St,100100075,03/08/2006,32,46
PERMIT - WRECKING/DEMOLITION,WRECK AND REMOVE OF EXISTING 2 STORY FRAME BUILDING.,1743 N Artesian Ave,100081444,02/24/2006,PERMIT - NEW CONSTRUCTION,Erecting a new masonry single family residence with a two car garage as per plans.,1743 N Artesian Ave,100094275,03/29/2006,1,25
PERMIT - WRECKING/DEMOLITION,WRECK AND REMOVE A 2 STORY SINGLE FAMILY WITH GARAGE,4120 N Oakley Ave,100091470,02/24/2006,PERMIT - NEW CONSTRUCTION,Erect wood frame single family residence with detached 2 car wood frame garage. Conditional Permit pending wrecking permit issuance within 30days of this permit issuance and Subject to Field Inspection,4120 N Oakley Ave,100092951,02/15/2006,47,46
PERMIT - WRECKING/DEMOLITION,WRECK AND REMOVE A 2 STORY SFR,1433 W Belmont Ave,100093427,02/27/2006,PERMIT - NEW CONSTRUCTION,erect a 4-story new 3-b masonry building w/ground floor commercial and 2 car attached garage as per plans. ( conditional permit pending issuance of wracking permit within 30 days of permit issuance),1433 W Belmont Ave,100081657,02/03/2006,32,57
PERMIT - WRECKING/DEMOLITION,WRECK AND REMOVE EXISTING 2 STORY MASONRY RESIDENTIAL BUILDING & 2 CAR WOOD FRAME DETACHED GARAGE.,4344 N Wolcott Ave,100091894,02/27/2006,PERMIT - NEW CONSTRUCTION,Erect 2 story frame single family residence and detached frame garage per plans.THIS IS A COND. PERMIT SUBJECT TO REVIEW ON SITE. WRECKING PERMIT MUST BE OBTAINED BEFORE CONSTRUCTION BEGINS.,4344 N Wolcott Ave,100092361,01/27/2006,47,46
